Gss year for this respondent                       ,Respondent income in constant dollars,Family income in constant dollars,Those in need have to take care of themselves,R has given money to a charity,R done volunteer work for a charity,Others misfortunes do not disturb r,R feels protective towards people taken advantage,R does not feel very sorry for people having pro,R have tender feeling for people less fortunate,Highest year of school completed,Age of respondent,Marital status,Respondent id number,Ballot used for interview
2002,18241,18241,Neither agree nor disagree,Not at all in the past year,Not at all in the past year,3,Describes very well,3,3,13,53,Divorced,53,Ballot c
2002,36482,36482,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,25,Married,54,Ballot a
2002,26754,26754,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,48,Divorced,55,Ballot c
2002,36482,65668,Agree,Once a month,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,13,45,Married,56,Ballot a
2002,0,10945,Disagree,Once in the past year,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,Does not describe very well,Does not describe very well,13,75,Widowed,57,Ballot c
2002,31618,31618,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,40,Divorced,58,Ballot a
2002,1946,0,Neither agree nor disagree,Not at all in the past year,Not at all in the past year,2,Describes very well,4,Describes very well,12,69,Widowed,59,Ballot b
2002,31618,31618,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,31,Divorced,60,Ballot a
2002,65668,97286,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,49,Married,61,Ballot b
2002,5351,36482,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,27,Never married,62,Ballot c
2002,53507,0,Disagree,Once a week,At least 2 or 3 times in the past year,2,Describes very well,2,Describes very well,19,64,Widowed,63,Ballot a
2002,18241,53507,Neither agree nor disagree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,Describes very well,4,4,4,12,48,Married,64,Ballot b
2002,13377,13377,Agree,Not at all in the past year,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,8,62,Married,65,Ballot c
2002,0,15809,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,76,Widowed,66,Ballot c
2002,0,0,Strongly agree,Not at all in the past year,Not at all in the past year,Does not describe very well,3,3,Describes very well,11,49,Widowed,67,Ballot b
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,71,Widowed,68,Ballot a
2002,0,6324,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9,78,Widowed,69,Ballot b
2002,0,10945,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9,84,Widowed,70,Ballot c
2002,0,8756,Neither agree nor disagree,Once in the past year,Not at all in the past year,Describes very well,Describes very well,Describes very well,3,13,74,Widowed,71,Ballot a
2002,0,5351,Disagree,Not at all in the past year,Not at all in the past year,Describes very well,Describes very well,Describes very well,Describes very well,11,89 or older,Divorced,72,Ballot b
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,85,Widowed,73,Ballot b
2002,18241,31618,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,29,Married,74,Ballot c
2002,235707,160197,Agree,Once a month,Once in the past year,4,4,4,4,15,49,Separated,75,Ballot c
2002,0,43779,Agree,Once a week,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,2,Describes very well,13,77,Married,76,Ballot a
2002,65668,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,38,Divorced,77,Ballot b
2002,80261,80261,Agree,Once a week,Not at all in the past year,Describes very well,2,Describes very well,Does not describe very well,15,28,Never married,78,Ballot a
2002,36482,97286,Neither agree nor disagree,Once a month,Once a month,Does not describe very well,Describes very well,Does not describe very well,Describes very well,13,46,Married,79,Ballot c
2002,53507,53507,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,44,Married,80,Ballot b
2002,43779,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,44,Divorced,81,Ballot c
2002,31618,80261,Neither agree nor disagree,Once a month,At least 2 or 3 times in the past year,Describes very well,Describes very well,Describes very well,4,14,38,Married,82,Ballot b
2002,7296,65668,Agree,At least 2 or 3 times in the past year,Not at all in the past year,3,3,3,3,13,48,Married,83,Ballot c
2002,31618,31618,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,38,Divorced,84,Ballot b
2002,0,26754,Disagree,At least 2 or 3 times in the past year,More than once a week,4,2,4,4,12,78,Widowed,85,Ballot c
2002,0,13377,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,76,Widowed,86,Ballot a
2002,0,13377,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,70,Never married,87,Ballot b
2002,0,3405,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,74,Divorced,88,Ballot c
2002,0,15809,Disagree,At least 2 or 3 times in the past year,Not at all in the past year,3,Describes very well,2,3,14,83,Widowed,89,Ballot b
2002,0,8756,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,89 or older,Widowed,90,Ballot a
2002,0,10945,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,77,Married,91,Ballot b
2002,0,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,32,Married,92,Ballot c
2002,20673,20673,Disagree,Once in the past year,More than once a week,2,4,2,3,15,23,Never married,93,Ballot a
2002,65668,65668,Agree,Once a month,Once in the past year,3,4,4,3,16,33,Never married,94,Ballot b
2002,3405,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,58,Married,95,Ballot b
2002,65668,65668,Disagree,Once a month,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,17,53,Divorced,96,Ballot a
2002,235707,160197,Agree,At least 2 or 3 times in the past year,Once a month,4,2,3,3,14,50,Divorced,97,Ballot b
2002,1946,6324,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,20,Never married,98,Ballot a
2002,0,36482,Neither agree nor disagree,Once a month,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,2,Describes very well,16,54,Married,99,Ballot a
2002,31618,31618,Disagree,At least 2 or 3 times in the past year,Not at all in the past year,2,4,Does not describe very well,3,13,44,Divorced,100,Ballot a
2002,0,53507,Neither agree nor disagree,Not at all in the past year,Once a month,4,4,2,4,13,21,Never married,101,Ballot b
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,56,Divorced,102,Ballot a
2002,43779,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,50,Divorced,103,Ballot b
2002,53507,53507,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,52,Divorced,104,Ballot c
2002,10945,0,Strongly agree,At least 2 or 3 times in the past year,Not at all in the past year,3,Describes very well,3,3,11,21,Never married,105,Ballot c
2002,10945,53507,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,25,Married,106,Ballot a
2002,0,8756,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,70,Separated,107,Ballot c
2002,18241,18241,Neither agree nor disagree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,3,3,3,3,12,34,Never married,108,Ballot a
2002,0,486,Neither agree nor disagree,Not at all in the past year,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,14,68,Divorced,109,Ballot b
2002,0,10945,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,24,Married,110,Ballot c
2002,0,0,Agree,Not at all in the past year,Not at all in the past year,2,3,Does not describe very well,Describes very well,12,27,Never married,111,Ballot c
2002,13377,23105,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,38,Married,112,Ballot a
2002,0,10945,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,56,Separated,113,Ballot b
2002,0,0,Dont know,Dont know,Dont know,Dont know,Dont know,Dont know,Dont know,12,47,Married,114,Ballot a
2002,0,15809,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,78,Divorced,115,Ballot a
2002,31618,31618,Agree,Not at all in the past year,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,11,30,Never married,116,Ballot c
2002,20673,20673,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,59,Divorced,117,Ballot a
2002,0,15809,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,71,Divorced,118,Ballot b
2002,0,8756,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,89 or older,Widowed,119,Ballot c
2002,0,13377,Disagree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,12,55,Separated,120,Ballot a
2002,0,10945,Agree,Once a week,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,11,76,Never married,121,Ballot c
2002,0,8756,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,84,Widowed,122,Ballot b
2002,0,20673,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,68,Divorced,123,Ballot c
2002,0,0,Neither agree nor disagree,At least 2 or 3 times in the past year,Once a month,Does not describe very well,Describes very well,Does not describe very well,Describes very well,12,78,Married,124,Ballot a
2002,486,8756,Agree,Once in the past year,Not at all in the past year,3,Describes very well,3,4,2,71,Widowed,125,Ballot b
2002,0,10945,Disagree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,15,65,Widowed,126,Ballot c
2002,36482,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,26,Married,127,Ballot a
2002,65668,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,43,Separated,128,Ballot c
2002,0,486,Strongly agree,Not at all in the past year,At least 2 or 3 times in the past year,3,4,Does not describe very well,Does not describe very well,12,19,Never married,129,Ballot b
2002,0,65668,Agree,Once a week,Not at all in the past year,2,Describes very well,3,4,17,83,Married,130,Ballot c
2002,65668,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,35,Married,131,Ballot a
2002,65668,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,31,Divorced,132,Ballot c
2002,53507,53507,Disagree,Once in the past year,Not at all in the past year,2,4,2,4,13,38,Never married,133,Ballot a
2002,0,0,Agree,Once a week,Not at all in the past year,2,Describes very well,Does not describe very well,4,12,No answer,Married,134,Ballot b
2002,235707,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,30,Never married,135,Ballot b
2002,7296,65668,Neither agree nor disagree,Once a week,Not at all in the past year,2,4,2,4,14,44,Married,136,Ballot a
2002,15809,15809,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,51,Separated,137,Ballot b
2002,0,15809,Neither agree nor disagree,Once a month,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,2,10,64,Married,138,Ballot a
2002,97286,97286,Agree,Once a week,Not at all in the past year,3,4,Does not describe very well,Describes very well,15,57,Married,139,Ballot b
2002,18241,43779,Disagree,At least 2 or 3 times in the past year,Once in the past year,Does not describe very well,4,Does not describe very well,Describes very well,16,62,Married,140,Ballot c
2002,0,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,52,Divorced,141,Ballot a
2002,23105,36482,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,41,Married,142,Ballot b
2002,0,31618,Disagree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,2,16,66,Married,143,Ballot c
2002,0,53507,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,79,Married,144,Ballot a
2002,65668,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,34,Never married,145,Ballot b
2002,0,53507,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,63,Married,146,Ballot c
2002,0,0,Agree,At least 2 or 3 times in the past year,Not at all in the past year,2,Describes very well,Does not describe very well,Describes very well,12,63,Widowed,147,Ballot a
2002,5351,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,38,Married,148,Ballot a
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,74,Married,149,Ballot c
2002,0,26754,Dont know,Dont know,Dont know,3,Describes very well,Does not describe very well,Describes very well,12,71,Widowed,150,Ballot a
2002,5351,97286,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,24,Never married,151,Ballot c
2002,43779,97286,Strongly agree,At least 2 or 3 times in the past year,Once in the past year,2,Describes very well,2,3,17,24,Never married,152,Ballot a
2002,65668,65668,Strongly agree,Once a month,Not at all in the past year,2,Does not describe very well,3,Does not describe very well,18,50,Never married,153,Ballot b
2002,235707,160197,Neither agree nor disagree,More than once a week,Once in the past year,2,4,3,3,16,54,Married,154,Ballot c
2002,0,26754,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,70,Widowed,155,Ballot c
2002,0,31618,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,81,Married,156,Ballot a
2002,36482,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,38,Married,157,Ballot c
2002,20673,23105,Disagree,Once in the past year,Not at all in the past year,3,3,3,2,12,36,Never married,158,Ballot a
2002,53507,97286,Disagree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,4,Does not describe very well,Describes very well,13,43,Married,159,Ballot b
2002,31618,80261,Agree,At least 2 or 3 times in the past year,Not at all in the past year,2,3,2,4,12,39,Married,160,Ballot c
2002,26754,97286,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,27,Never married,161,Ballot a
2002,43779,80261,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,34,Never married,162,Ballot b
2002,0,13377,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,79,Married,163,Ballot c
2002,0,23105,Neither agree nor disagree,At least 2 or 3 times in the past year,Not at all in the past year,4,Describes very well,3,Describes very well,12,84,Widowed,164,Ballot b
2002,0,13377,Disagree,At least 2 or 3 times in the past year,More than once a week,Does not describe very well,Describes very well,Does not describe very well,Describes very well,15,71,Widowed,165,Ballot c
2002,20673,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9,22,Never married,166,Ballot b
2002,26754,65668,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,36,Married,167,Ballot c
2002,0,0,Neither agree nor disagree,Once a month,Not at all in the past year,3,4,Does not describe very well,Describes very well,12,44,Separated,168,Ballot a
2002,0,31618,Agree,Not at all in the past year,Not at all in the past year,3,4,3,3,12,74,Widowed,169,Ballot b
2002,31618,80261,Agree,Once in the past year,Not at all in the past year,Does not describe very well,4,Does not describe very well,3,16,63,Married,170,Ballot c
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,48,Married,171,Ballot a
2002,43779,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,39,Divorced,172,Ballot b
2002,10945,80261,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,40,Married,173,Ballot c
2002,65668,80261,Agree,At least 2 or 3 times in the past year,Once in the past year,2,4,2,4,14,30,Separated,174,Ballot a
2002,0,80261,Disagree,Once a month,Not at all in the past year,2,3,Does not describe very well,Describes very well,12,36,Married,175,Ballot b
2002,0,0,Neither agree nor disagree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,Does not describe very well,4,2,Describes very well,15,42,Never married,176,Ballot c
2002,0,43779,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,70,Married,177,Ballot a
2002,97286,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,50,Married,178,Ballot c
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,38,Married,179,Ballot b
2002,235707,160197,Agree,At least 2 or 3 times in the past year,Not at all in the past year,2,2,2,Does not describe very well,20,53,Married,180,Ballot b
2002,3405,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,36,Divorced,181,Ballot c
2002,43779,43779,Neither agree nor disagree,Once a month,Not at all in the past year,3,3,3,3,14,45,Never married,182,Ballot a
2002,80261,97286,Strongly agree,Not at all in the past year,Not at all in the past year,4,4,Describes very well,Describes very well,17,No answer,Married,183,Ballot b
2002,1946,26754,Agree,At least 2 or 3 times in the past year,Once in the past year,2,4,Does not describe very well,Describes very well,12,22,Never married,184,Ballot a
2002,43779,43779,Neither agree nor disagree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,4,2,4,16,70,Divorced,185,Ballot c
2002,13377,13377,Strongly agree,Not at all in the past year,Not at all in the past year,Does not describe very well,Does not describe very well,Does not describe very well,Does not describe very well,11,24,Never married,186,Ballot a
2002,4378,4378,Neither agree nor disagree,Not at all in the past year,Once a month,Does not describe very well,Does not describe very well,Does not describe very well,Describes very well,12,No answer,Never married,187,Ballot b
2002,0,8756,Strongly agree,At least 2 or 3 times in the past year,Not at all in the past year,4,Describes very well,Describes very well,Describes very well,13,68,Divorced,188,Ballot c
2002,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,19,Divorced,189,Ballot a
2002,13377,13377,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,24,Never married,190,Ballot b
2002,13377,13377,Neither agree nor disagree,More than once a week,Not at all in the past year,Does not describe very well,Describes very well,Describes very well,Describes very well,14,48,Never married,191,Ballot a
2002,0,486,Strongly agree,Not at all in the past year,Not at all in the past year,3,3,3,3,15,55,Divorced,192,Ballot b
2002,65668,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,51,Married,193,Ballot b
2002,0,36482,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,71,Married,194,Ballot c
2002,235707,160197,Agree,Once a month,Not at all in the past year,2,Describes very well,4,2,13,45,Married,195,Ballot c
2002,0,97286,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,82,Married,196,Ballot a
2002,65668,160197,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,46,Married,197,Ballot b
2002,36482,53507,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,35,Divorced,198,Ballot c
2002,0,97286,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,18,Never married,199,Ballot c
2002,0,80261,Strongly agree,Once a month,Not at all in the past year,2,4,3,4,20,57,Married,200,Ballot b
2002,3405,23105,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,23,Married,201,Ballot c
2002,31618,80261,Neither agree nor disagree,Not at all in the past year,Not at all in the past year,3,3,3,3,12,32,Married,202,Ballot a
2002,80261,160197,Agree,At least 2 or 3 times in the past year,Once in the past year,4,4,4,4,18,28,Never married,203,Ballot c
2002,53507,53507,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,48,Divorced,204,Ballot a
2002,65668,97286,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,39,Married,205,Ballot b
